Critical Industry,Organisation size,Level of digital intensity,Cyber security role,Cyber security frameworks,Improper network segmentation,Inappropriate remote access,Absence of encryption,Number of users affected,Attack type,Attacker,Attack vector,Impact on data,Aspect of Confidentiality-Integrity-Availability triad affected,Attacker type
0,3,3,0,0,1,1,1,346,4,0,8,2,1,Unknown
0,3,0,0,0,2,0,2,273,4,0,2,1,1,Unknown
0,0,3,0,0,0,0,0,313,1,1,3,0,1,Unknown
0,0,3,0,0,0,0,0,346,3,0,1,1,1,Unknown
1,0,1,0,0,2,0,2,346,0,0,5,0,1,Cybercriminal group
1,3,1,0,0,1,1,2,247,3,0,7,0,1,Unknown
1,1,0,0,0,1,1,1,346,0,0,5,0,1,Cybercriminal group
1,1,1,0,0,2,0,2,346,0,0,5,0,1,Cybercriminal group
1,0,0,0,0,2,0,2,118,4,0,7,0,1,Unknown
1,2,3,0,0,0,0,2,171,2,0,3,0,1,Insider or Physical theft
1,0,2,0,0,0,0,2,26,2,0,3,2,1,Insider or Physical theft
1,0,0,0,0,0,0,2,247,2,0,3,0,1,Insider or Physical theft
1,1,0,0,0,0,0,2,346,1,0,4,2,1,Phisher
0,0,0,0,0,1,1,2,346,1,0,5,1,1,Unknown
0,0,2,0,0,1,1,1,346,3,0,7,2,1,Unknown
1,0,0,0,0,2,0,2,295,3,0,5,0,1,Unknown
1,2,2,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
1,0,2,0,0,0,0,2,108,2,0,3,2,1,Insider or Physical theft
1,1,2,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
1,0,2,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
1,3,2,0,0,2,0,2,346,0,0,5,0,0,Cybercriminal group
1,2,2,0,0,1,0,2,56,3,0,7,2,1,Unknown
0,3,3,0,0,1,0,2,275,3,0,8,0,1,Unknown
1,0,0,0,0,2,0,2,105,3,0,2,0,1,Unknown
0,3,3,0,0,1,1,2,198,3,0,8,1,1,Unknown
0,3,0,0,0,1,0,2,86,3,0,5,1,1,Unknown
0,0,3,0,0,2,1,2,53,0,0,5,0,1,Cybercriminal group
0,0,3,0,0,2,0,2,346,0,0,3,0,1,Unknown
0,0,3,0,0,1,0,1,328,3,0,5,0,1,Unknown
1,0,1,0,0,2,0,2,346,3,0,5,2,1,Unknown
1,2,2,0,0,1,1,1,346,0,0,7,0,0,Cybercriminal group
1,2,2,0,0,2,2,2,125,0,0,5,0,0,Cybercriminal group
1,2,2,0,0,1,1,2,346,0,0,5,2,1,Unknown
1,1,0,0,0,1,0,1,346,3,0,7,1,1,Unknown
1,3,1,0,0,1,1,2,346,3,0,4,2,1,Phisher
1,1,0,0,0,1,1,1,346,1,0,9,1,1,Third-party
1,0,2,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
1,0,0,0,0,1,1,1,161,3,0,5,1,1,Unknown
1,0,2,0,0,1,1,2,346,0,0,5,0,0,Cybercriminal group
0,0,2,1,0,1,0,2,324,0,0,6,2,1,Unknown
0,0,2,0,0,1,1,1,346,3,0,7,2,1,Unknown
0,0,2,0,0,1,0,2,42,3,0,7,2,1,Unknown
0,1,3,0,0,1,1,2,346,1,0,5,0,1,Unknown
0,0,3,0,0,2,0,2,58,3,0,5,0,1,Unknown
1,0,0,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
1,0,0,0,0,0,0,2,168,2,0,3,2,1,Insider or Physical theft
0,3,3,0,0,1,1,2,65,3,0,5,1,1,Unknown
0,3,0,1,0,1,1,1,346,1,0,4,1,1,Phisher
0,3,3,0,0,0,0,2,346,0,0,8,0,1,Unknown
1,0,2,1,0,0,0,2,231,2,0,3,2,1,Insider or Physical theft
1,1,1,0,0,0,0,2,346,4,0,9,0,1,Third-party
0,1,0,0,0,1,0,2,43,3,0,5,0,1,Unknown
1,1,2,0,0,1,1,1,148,1,0,4,1,1,Phisher
0,0,3,0,0,1,1,2,75,3,0,5,1,1,Unknown
0,0,2,0,0,1,1,1,346,3,0,7,2,1,Unknown
0,0,2,0,0,0,0,0,346,1,1,0,0,1,Unknown
0,0,1,0,0,2,0,2,346,3,0,5,0,1,Unknown
1,0,2,0,0,1,0,1,293,3,0,9,0,0,Unknown
0,1,0,1,0,1,1,2,346,1,0,5,2,1,Unknown
1,0,2,0,0,1,1,2,73,1,0,9,2,1,Script kiddie or Hacker
1,0,3,0,0,1,1,1,290,1,0,4,2,1,Phisher
1,0,2,0,0,1,1,1,346,1,0,4,2,1,Phisher
0,0,3,0,0,1,1,2,296,1,0,2,1,1,Unknown
1,0,2,0,0,1,1,1,111,1,0,5,1,1,Unknown
0,0,0,0,0,1,0,1,346,1,0,5,1,1,Unknown
1,0,0,1,0,2,0,2,78,4,0,2,0,1,Unknown
1,0,0,0,0,1,1,1,346,4,0,5,2,1,Unknown
0,0,1,0,0,1,1,1,346,0,0,7,0,1,Cybercriminal group
1,1,0,1,0,1,1,0,233,3,0,5,1,1,Unknown
0,3,3,0,0,1,1,2,170,3,0,5,1,1,Unknown
1,0,2,0,0,1,1,1,3,3,0,5,1,1,Unknown
1,0,0,0,0,1,1,1,66,3,0,7,2,1,Unknown
1,0,2,0,0,1,0,1,276,3,0,5,1,1,Unknown
1,3,2,0,0,1,1,2,346,0,0,5,0,0,Cybercriminal group
1,1,2,1,0,0,0,0,131,1,0,4,2,1,Unknown
1,2,2,0,0,2,0,2,346,0,0,5,0,0,Cybercriminal group
0,1,2,0,0,2,1,1,346,4,0,8,0,1,Unknown
0,0,3,1,1,1,1,1,233,3,0,5,1,1,Unknown
1,3,2,0,0,1,1,1,346,0,0,9,0,0,Cybercriminal group
1,0,2,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
1,3,2,0,0,1,1,1,346,0,0,5,0,0,Cybercriminal group
1,2,2,0,0,1,1,1,41,0,0,4,0,0,Cybercriminal group
1,1,1,0,0,1,1,1,346,0,0,5,0,0,Cybercriminal group
0,1,3,0,0,2,2,2,94,4,0,2,0,1,Unknown
1,0,3,1,0,1,0,1,217,1,0,6,2,1,Script kiddie or Hacker
1,0,2,0,0,0,0,2,41,2,0,3,2,1,Insider or Physical theft
1,1,2,0,0,1,1,1,206,0,0,5,0,0,Cybercriminal group
1,0,0,0,0,2,0,2,100,2,0,3,2,1,Insider or Physical theft
1,0,0,1,0,1,1,1,346,1,0,4,1,1,Phisher
1,3,0,0,0,0,0,0,346,1,1,0,0,1,Unknown
1,0,0,0,0,1,1,1,346,3,0,5,1,1,Unknown
1,3,0,0,0,1,1,1,346,3,0,5,0,1,Unknown
1,1,3,0,0,2,0,2,346,0,0,5,0,1,Cybercriminal group
1,3,3,0,0,1,0,1,135,3,0,5,1,1,Unknown
1,3,3,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
0,3,3,0,0,1,0,2,346,3,0,5,0,1,Unknown
1,0,3,0,0,0,0,2,275,2,0,3,2,1,Insider or Physical theft
0,3,2,0,0,0,0,2,341,3,0,5,0,1,Unknown
0,0,2,0,0,2,1,2,346,0,0,5,0,1,Cybercriminal group
0,0,2,0,0,2,1,2,346,0,0,5,0,1,Cybercriminal group
0,3,3,0,0,2,0,2,211,3,0,7,1,1,Unknown
1,3,2,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
0,0,3,0,0,1,0,1,346,3,0,5,1,1,Unknown
1,1,1,0,0,1,1,1,346,3,0,9,0,1,Unknown
1,3,3,0,0,2,0,2,346,3,0,5,0,1,Unknown
0,2,0,0,0,1,1,1,346,3,0,5,0,1,Unknown
1,0,0,1,0,1,1,1,208,3,0,5,1,1,Unknown
1,3,2,0,0,1,1,1,213,0,0,5,2,1,Unknown
0,0,3,0,0,2,0,2,299,3,0,7,0,1,Unknown
0,0,3,0,0,1,1,1,89,1,0,4,2,1,Phisher
0,0,3,0,0,0,0,2,296,2,0,9,2,1,Insider or Physical theft
1,1,1,0,0,1,0,2,346,4,0,8,0,1,Unknown
0,2,0,0,0,1,1,1,346,2,0,3,2,1,Insider or Physical theft
0,0,3,0,0,0,0,2,346,3,0,5,2,1,Unknown
0,3,3,0,0,1,0,2,346,3,0,5,0,1,Unknown
0,0,3,0,0,1,1,2,346,0,0,5,0,1,Unknown
0,0,2,0,0,2,0,2,164,3,0,7,2,1,Unknown
0,0,2,0,0,2,0,2,207,3,0,6,2,1,Unknown
0,0,2,1,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
1,0,2,1,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
1,0,3,0,0,0,0,0,346,2,0,3,2,1,Insider or Physical theft
0,0,0,0,0,0,0,2,346,2,0,3,0,1,Insider or Physical theft
0,3,0,0,0,2,0,2,346,3,0,5,0,1,Unknown
1,1,2,0,0,1,1,1,346,4,0,5,0,1,Unknown
1,3,2,0,0,0,0,1,89,2,0,3,1,1,Insider or Physical theft
1,0,0,1,0,1,0,1,65,3,0,5,0,1,Unknown
0,3,3,0,0,2,1,2,346,4,0,2,2,1,Unknown
1,0,1,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
1,3,2,0,0,1,1,1,187,1,0,4,1,1,Phisher
1,0,0,0,0,2,1,2,346,1,1,0,2,1,Unknown
0,3,3,0,0,1,1,1,346,3,0,5,2,1,Unknown
0,3,3,0,0,2,1,2,346,0,0,5,0,1,Cybercriminal group
0,3,3,0,0,1,0,2,314,0,0,9,0,1,Cybercriminal group
1,0,0,1,0,1,2,2,2,0,0,5,1,1,Cybercriminal group
0,0,2,0,0,2,2,2,346,1,0,6,2,1,Unknown
1,3,0,0,0,1,2,2,346,1,0,1,1,1,Unknown
1,3,2,0,0,1,1,2,270,3,0,9,2,1,Unknown
0,1,3,0,0,2,0,2,346,0,0,2,0,1,Unknown
0,3,3,0,0,1,1,1,346,0,0,5,0,1,Cybercriminal group
0,3,0,0,0,2,0,2,346,3,0,7,0,1,Unknown
0,1,0,0,0,2,1,2,346,0,0,7,0,1,Cybercriminal group
1,0,0,0,0,0,0,0,346,1,0,4,0,1,Phisher
0,1,0,0,0,0,0,2,346,3,0,5,2,1,Unknown
1,2,2,0,0,1,1,1,73,0,0,5,0,0,Cybercriminal group
1,2,2,0,0,0,0,2,346,3,0,7,2,1,Unknown
1,2,2,0,0,1,1,1,346,3,0,5,2,1,Unknown
1,0,1,0,0,2,0,2,212,0,0,5,0,1,Cybercriminal group
0,0,3,0,0,1,1,2,346,3,0,5,0,1,Unknown
1,0,0,0,0,1,1,2,346,0,0,5,0,1,Cybercriminal group
1,2,2,0,0,1,1,1,326,3,0,5,2,1,Unknown
1,0,2,0,0,0,0,2,332,2,0,3,2,1,Insider or Physical theft
1,0,2,0,0,0,0,0,0,2,0,3,2,1,Insider or Physical theft
0,0,2,0,0,1,0,1,0,3,0,5,2,1,Unknown
0,0,2,0,0,1,1,2,346,3,0,7,2,1,Unknown
1,0,2,0,0,1,1,1,346,3,0,5,0,1,Unknown
1,0,2,0,0,1,1,2,346,3,0,9,2,1,Third-party
1,0,2,0,0,1,1,1,96,1,0,5,1,1,Unknown
1,0,2,0,0,1,1,1,210,1,0,4,1,1,Phisher
